feature,gain
rmean_60,84541268.77238464
rmean_180,49945599.85299301
rmean_28,38208819.896110535
item_id,16943910.973838806
rmean_14,6559614.788330078
rmean_7,2379762.073249817
lag_364,1672523.4088363647
dayofweek,1247112.6751937866
lag_28,1017386.3410949707
days_since_release,739905.7450332642
dept_id,732417.3208007812
event_name_1,716962.4359321594
weekofyear,709248.338470459
price_rel_item,706321.58020401
rstd_28,642517.3879585266
store_id,621126.8350715637
weekday,329980.9986190796
price_rel_dept,318769.1552352905
sell_price,308617.17137145996
month,299626.6100997925
lag_35,267547.3782272339
zero_rate_28,266454.1068611145
dayofmonth,176788.80494308472
snap,169116.57470703125
rstd_7,127083.51787567139
lag_29,125551.141746521
lag_42,115627.40375518799
lag_56,100675.5641708374
cat_id,76526.84759521484
price_change_w,76336.36151885986
is_weekend,75495.4937133789
state_id,68670.37252807617
year,18238.592864990234
lag_30,10275.786628723145
event_type_1,5037.799049377441
is_event,3399.581008911133
event_type_2,0.0
event_name_2,0.0
