feature,gain
rmean_60,164963048.47753906
rmean_180,83365589.85486603
rmean_14,46874294.274902344
rmean_28,37556996.4464035
item_id,29503724.589942932
rmean_7,3591226.815071106
lag_364,2739022.3399276733
rstd_28,2229110.1544036865
dayofweek,2116490.182510376
days_since_release,1947550.144416809
lag_28,1407177.7226638794
price_rel_item,1381792.080154419
dept_id,1381032.801322937
weekofyear,1340205.138053894
event_name_1,1327953.0930023193
store_id,1300830.8263397217
price_rel_dept,897642.3480148315
sell_price,826671.7791519165
zero_rate_28,713933.2892684937
weekday,608824.125076294
month,542457.6873245239
snap,354526.86264038086
dayofmonth,334816.8082962036
rstd_7,324600.056640625
is_weekend,292971.89373779297
lag_35,272741.50132751465
price_change_w,236721.16883850098
lag_56,191055.34868621826
lag_29,185739.9260406494
state_id,176955.5581588745
lag_42,176367.47048187256
cat_id,147112.94145965576
year,111503.94609069824
lag_30,28686.70133972168
event_type_1,17563.733963012695
is_event,4678.743911743164
event_type_2,0.0
event_name_2,0.0
