feature,gain
rmean_180,135804289.3073883
item_id,17704148.766662598
rmean_60,12882777.886703491
rmean_28,5583710.5783081055
rmean_14,3191053.2427978516
lag_364,2508151.3600769043
dept_id,1215734.6940917969
dayofweek,1080066.4838104248
rmean_7,817593.245010376
price_rel_item,802176.2977294922
store_id,723000.6752471924
event_name_1,659730.9759979248
days_since_release,621411.9938659668
weekofyear,414741.13513183594
price_rel_dept,318750.59786987305
lag_56,295421.49978637695
sell_price,274726.40310668945
weekday,269486.47424316406
month,242923.73179626465
rstd_28,223054.709274292
zero_rate_28,189999.7646484375
lag_63,170746.76718139648
snap,153688.64016723633
lag_70,152603.95323181152
dayofmonth,131120.02206420898
lag_84,99281.49830627441
cat_id,95290.34349060059
is_weekend,75384.38159179688
state_id,48150.52615356445
price_change_w,19193.693969726562
rstd_7,17239.732803344727
year,14730.84408569336
event_type_1,13637.608947753906
lag_57,9328.65104675293
lag_58,5004.77702331543
is_event,2429.2769775390625
event_type_2,0.0
event_name_2,0.0
